job_role,required_skills,description,avg_salary_usd,avg_salary_inr,demand_level,career_path,months_to_learn,department
Full Stack Developer,"JavaScript,React,Node.js,Express,MongoDB,HTML,CSS,Git,REST API,SQL,TypeScript",Builds complete web applications end-to-end,$95k-$130k,Rs.12L-28L,High,Junior Dev > Mid Dev > Senior Dev > Tech Lead,12,Engineering
Frontend Developer,"JavaScript,React,HTML,CSS,Bootstrap,Redux,TypeScript,Webpack,Git,Figma",Creates user-facing interfaces and experiences,$80k-$115k,Rs.8L-20L,High,UI Dev > Frontend Dev > Senior Frontend > UX Engineer,8,Engineering
Backend Developer,"Python,Node.js,Django,Express,PostgreSQL,Redis,Docker,REST API,GraphQL,Microservices",Designs and implements server-side logic,$85k-$120k,Rs.10L-24L,High,Junior Backend > Senior Backend > Software Architect,10,Engineering
DevOps Engineer,"Docker,Kubernetes,CI/CD,Jenkins,AWS,Linux,Bash,Terraform,Ansible,Git,Monitoring",Manages infrastructure and deployment pipelines,$100k-$145k,Rs.14L-32L,High,SysAdmin > DevOps > SRE > Platform Engineer,14,Cloud & Infrastructure
Cloud Architect,"AWS,Azure,GCP,Terraform,Kubernetes,Docker,Networking,Security,Cost Optimization,IAM",Designs scalable cloud infrastructure,$130k-$180k,Rs.20L-45L,High,Cloud Engineer > Solutions Architect > Cloud Architect,24,Cloud & Infrastructure
Data Scientist,"Python,Machine Learning,Pandas,NumPy,Scikit-learn,TensorFlow,SQL,Statistics,R,Data Visualization",Extracts insights from data using ML and statistics,$95k-$140k,Rs.12L-32L,Very High,Data Analyst > Data Scientist > Senior DS > ML Lead,14,AI & Data
Machine Learning Engineer,"Python,TensorFlow,PyTorch,Scikit-learn,MLOps,Docker,Kubernetes,Feature Engineering,Deep Learning",Builds and deploys machine learning models,$110k-$160k,Rs.16L-40L,Very High,Data Scientist > ML Engineer > Senior MLE > AI Lead,16,AI & Data
AI Research Scientist,"Python,Deep Learning,PyTorch,Research Papers,Mathematics,Statistics,NLP,Computer Vision,Reinforcement Learning",Conducts cutting-edge AI research,$120k-$200k,Rs.20L-60L,High,PhD > Research Intern > Research Scientist > Principal Researcher,36,AI Research
Data Engineer,"Python,Apache Spark,Hadoop,Airflow,Kafka,SQL,ETL,Data Warehousing,AWS,BigQuery",Builds data pipelines and infrastructure,$95k-$135k,Rs.12L-30L,Very High,Data Analyst > Data Engineer > Senior DE > Data Architect,12,AI & Data
Business Intelligence Analyst,"SQL,Power BI,Tableau,Excel,Data Modeling,ETL,Python,Statistics,Reporting,DAX",Transforms data into business insights,$70k-$105k,Rs.6L-18L,High,Data Analyst > BI Analyst > BI Lead > Analytics Manager,8,Analytics
Cybersecurity Analyst,"Network Security,SIEM,Penetration Testing,Incident Response,Firewalls,Python,Linux,OWASP,Vulnerability Assessment",Protects systems from cyber threats,$85k-$130k,Rs.10L-25L,Very High,IT Support > Security Analyst > SOC Analyst > CISO,12,Security
Ethical Hacker,"Kali Linux,Metasploit,Network Security,Python,Web App Security,Burp Suite,OWASP,Reverse Engineering,CTF",Tests systems for security vulnerabilities,$90k-$135k,Rs.12L-28L,High,Security Analyst > Pen Tester > Red Team Lead,14,Security
Security Engineer,"Cryptography,Network Security,Zero Trust,IAM,SAST/DAST,Cloud Security,Python,DevSecOps,Compliance",Designs and implements security systems,$100k-$150k,Rs.14L-35L,Very High,Security Analyst > Security Engineer > Security Architect,18,Security
iOS Developer,"Swift,Xcode,UIKit,SwiftUI,Core Data,REST API,Git,App Store,Objective-C",Develops native iOS applications,$90k-$130k,Rs.10L-25L,High,Junior iOS > Mid iOS > Senior iOS > iOS Lead,10,Mobile
Android Developer,"Kotlin,Android Studio,Jetpack Compose,Java,REST API,Room,Firebase,Git,Material Design",Develops native Android applications,$85k-$125k,Rs.10L-22L,High,Junior Android > Mid Android > Senior Android > Lead,10,Mobile
React Native Developer,"React Native,JavaScript,TypeScript,Redux,REST API,Expo,Firebase,Android,iOS,Git",Builds cross-platform mobile apps,$80k-$120k,Rs.10L-22L,High,Frontend Dev > React Native Dev > Mobile Lead,10,Mobile
Flutter Developer,"Flutter,Dart,Firebase,REST API,BLoC,Provider,Android,iOS,Git",Creates cross-platform mobile apps with Flutter,$75k-$115k,Rs.8L-20L,High,Mobile Dev > Flutter Dev > Senior Flutter Dev,8,Mobile
Site Reliability Engineer,"Linux,Kubernetes,Go,Python,Prometheus,Grafana,Incident Management,Chaos Engineering,Distributed Systems",Ensures high availability of systems,$120k-$170k,Rs.18L-42L,High,DevOps > SRE > Principal SRE > Engineering Manager,20,Cloud & Infrastructure
Database Administrator,"SQL,PostgreSQL,MySQL,MongoDB,Oracle,Performance Tuning,Backup Recovery,Replication,Indexing",Manages database systems,$80k-$115k,Rs.8L-20L,Moderate,DB Developer > DBA > Senior DBA > DB Architect,10,Database
Embedded Systems Engineer,"C,C++,RTOS,Microcontrollers,ARM,UART,SPI,I2C,Assembly,PCB Design,Debugging",Develops software for embedded hardware,$80k-$120k,Rs.8L-22L,High,Firmware Dev > Embedded Engineer > Senior > Architect,14,Embedded & IoT
IoT Developer,"C,Python,MQTT,Node-RED,AWS IoT,Raspberry Pi,Arduino,REST API,Embedded C,Cloud",Builds connected IoT devices and systems,$75k-$115k,Rs.8L-20L,High,Embedded Dev > IoT Dev > IoT Architect,12,Embedded & IoT
VLSI Design Engineer,"VHDL,Verilog,SystemVerilog,Synopsys,Cadence,RTL Design,Timing Analysis,DRC LVS,CMOS,FPGA",Designs integrated circuits,$85k-$130k,Rs.10L-28L,High,Verification Eng > RTL Designer > Senior VLSI > Design Lead,18,Embedded & IoT
Signal Processing Engineer,"MATLAB,Python,DSP,FFT,Filter Design,FPGA,VHDL,NumPy,C,Communication Systems",Processes and analyzes digital signals,$80k-$125k,Rs.8L-24L,Moderate,Junior DSP > Signal Processing Eng > Senior DSP,16,Embedded & IoT
Robotics Engineer,"ROS,Python,C++,Control Systems,Computer Vision,SLAM,Kinematics,MATLAB,Gazebo,Sensor Fusion",Designs and programs robotic systems,$90k-$140k,Rs.12L-30L,High,Mechanical Eng > Robotics Dev > Senior Robotics > Lead,18,Robotics
Computer Vision Engineer,"Python,OpenCV,Deep Learning,PyTorch,TensorFlow,Image Processing,Object Detection,CNNs,CUDA",Builds systems that understand visual data,$100k-$150k,Rs.14L-36L,Very High,ML Engineer > CV Engineer > Senior CV > Research Scientist,16,AI Research
NLP Engineer,"Python,Hugging Face,BERT,Transformers,NLP,PyTorch,spaCy,Text Classification,Named Entity Recognition",Develops NLP solutions,$100k-$155k,Rs.14L-38L,Very High,ML Engineer > NLP Engineer > Senior NLP Lead,16,AI Research
UX UI Designer,"Figma,Adobe XD,User Research,Wireframing,Prototyping,HTML,CSS,Design Systems,Usability Testing",Creates user-centered design solutions,$70k-$115k,Rs.6L-20L,High,Intern > UX Designer > Senior UX > Design Lead,10,Design
Product Manager,"Product Strategy,Roadmapping,Agile,Jira,Data Analysis,User Research,Stakeholder Management,A/B Testing",Leads product development and strategy,$100k-$160k,Rs.12L-35L,High,Business Analyst > PM > Senior PM > VP Product,24,Management
Project Manager,"PMP,Agile,Scrum,JIRA,Risk Management,Stakeholder Communication,MS Project,Resource Planning",Manages software development projects,$85k-$130k,Rs.8L-22L,Moderate,Developer > Tech Lead > Project Manager > Program Manager,18,Management
Blockchain Developer,"Solidity,Ethereum,Web3.js,Smart Contracts,DeFi,Hardhat,Truffle,Cryptography,JavaScript",Develops blockchain applications,$100k-$160k,Rs.14L-38L,Moderate,Web Dev > Blockchain Dev > Senior Blockchain Dev,14,Web3
Fintech Developer,"Python,Java,REST API,Payment Gateways,Banking APIs,Compliance,Microservices,SQL,Security",Builds financial technology platforms,$95k-$145k,Rs.12L-32L,High,Software Dev > Fintech Dev > Senior Fintech > Architect,14,Fintech
Quantitative Analyst,"Python,R,Statistics,Linear Algebra,Financial Modeling,MATLAB,SQL,Risk Management,Time Series",Develops quantitative financial models,$110k-$175k,Rs.14L-45L,Moderate,Data Analyst > Quant Developer > Senior Quant,24,Fintech
Game Developer,"Unity,C#,Unreal Engine,C++,Game Design,3D Modeling,Physics Engine,Shader Programming,Git",Creates gaming experiences,$75k-$120k,Rs.6L-22L,Moderate,Junior Game Dev > Mid Game Dev > Senior > Lead,12,Gaming
AR VR Developer,"Unity,C#,ARKit,ARCore,3D Modeling,OpenXR,Shader Programming,C++,Spatial Computing",Develops augmented and virtual reality apps,$90k-$135k,Rs.10L-28L,Growing,Unity Dev > AR/VR Dev > Senior XR Developer,14,Gaming
Scrum Master,"Scrum,Kanban,Agile,Jira,Team Facilitation,Retrospectives,Sprint Planning,Conflict Resolution",Facilitates agile development processes,$85k-$120k,Rs.8L-20L,Moderate,Developer > Scrum Master > Agile Coach,12,Management
Solutions Architect,"System Design,AWS,Microservices,Distributed Systems,APIs,Security,Cost Optimization,Technical Leadership",Designs enterprise-level solutions,$130k-$185k,Rs.18L-48L,High,Senior Dev > Tech Lead > Solutions Architect > CTO,30,Architecture
Enterprise Architect,"TOGAF,Business Architecture,Technology Strategy,Cloud,Digital Transformation,Stakeholder Management",Aligns IT strategy with business,$140k-$200k,Rs.20L-55L,Moderate,Solutions Architect > Enterprise Architect > CTO,36,Architecture
CAD Design Engineer,"AutoCAD,SolidWorks,CATIA,GD&T,FEA,Sheet Metal Design,Product Design,Technical Drawing",Creates detailed mechanical designs,$65k-$100k,Rs.5L-16L,Moderate,Junior Designer > CAD Engineer > Senior Design Engineer,10,Engineering
Mechanical Design Engineer,"SolidWorks,CATIA,FEA,ANSYS,Thermodynamics,Manufacturing Processes,Material Science,AutoCAD",Designs mechanical systems,$70k-$110k,Rs.6L-18L,Moderate,Junior Mech > Design Engineer > Senior Mech > Principal,12,Engineering
Manufacturing Engineer,"Lean Manufacturing,Six Sigma,AutoCAD,PLC,CNC,Quality Control,CAD CAM,Industrial Engineering",Optimizes manufacturing processes,$70k-$110k,Rs.6L-18L,Moderate,Junior Mfg > Manufacturing Engineer > Process Lead,12,Engineering
Structural Engineer,"STAAD Pro,SAP2000,AutoCAD,Civil 3D,FEA,Reinforced Concrete,Steel Design,Building Codes",Analyzes and designs structural systems,$70k-$110k,Rs.6L-18L,Moderate,Junior Structural > Structural Engineer > Senior Structural,14,Engineering
Civil Transportation Engineer,"AutoCAD,Civil 3D,GIS,Transportation Planning,ArcGIS,Traffic Analysis,Highway Design,Project Management",Designs civil infrastructure,$65k-$105k,Rs.5L-16L,Moderate,Junior Civil > Civil Engineer > Project Manager > Director,14,Engineering
GIS Analyst,"ArcGIS,QGIS,Python,Remote Sensing,Spatial Analysis,SQL,AutoCAD,Field Data Collection",Analyzes geographic and spatial data,$65k-$100k,Rs.5L-16L,Moderate,GIS Technician > GIS Analyst > Senior GIS > Manager,10,Analytics
Environmental Engineer,"Environmental Impact Assessment,AutoCAD,Water Treatment,Air Quality,GIS,Data Analysis,Regulations",Addresses environmental challenges,$65k-$100k,Rs.5L-14L,Moderate,Junior Env > Environmental Engineer > Senior > EHS Manager,12,Engineering
Electrical Engineer,"Circuit Design,MATLAB,SCADA,Power Systems,AutoCAD Electrical,PLC Programming,Power Electronics",Designs electrical systems,$75k-$115k,Rs.7L-20L,Moderate,Junior EE > Electrical Engineer > Senior EE > Principal,14,Embedded & IoT
Control Systems Engineer,"MATLAB,Simulink,PLC,SCADA,Control Theory,Python,C,Automation,PID Controllers",Designs automated control systems,$80k-$125k,Rs.8L-24L,Moderate,Junior Controls > Controls Engineer > Senior > Principal,16,Embedded & IoT
Power Systems Engineer,"Power Electronics,MATLAB,Grid Systems,SCADA,Renewable Energy,Smart Grid,Simulation",Designs and manages power systems,$80k-$120k,Rs.7L-22L,Moderate,Junior Power > Power Engineer > Senior > Principal,14,Embedded & IoT
Telecommunications Engineer,"5G,Network Protocols,RF Engineering,Signal Processing,MATLAB,Networking,Python,Antenna Design",Designs communication networks,$80k-$125k,Rs.8L-22L,Moderate,Junior Telecom > Telecom Engineer > Senior > Principal,14,Networking
Network Engineer,"Cisco,Routing,Switching,BGP,OSPF,Firewalls,Linux,Network Security,Cloud Networking,Python",Designs and manages computer networks,$80k-$120k,Rs.8L-20L,High,Network Technician > Network Engineer > Senior > Architect,12,Networking
Chemical Process Engineer,"Aspen Plus,MATLAB,Process Simulation,Heat Transfer,Mass Transfer,Safety Analysis,P&ID",Designs chemical processes,$75k-$115k,Rs.7L-20L,Moderate,Process Technician > Process Engineer > Senior > Principal,14,Engineering
Quality Assurance Engineer,"Testing,Selenium,Jest,Python,Test Automation,CI CD,Bug Tracking,Performance Testing,ISTQB",Ensures software quality,$70k-$105k,Rs.6L-18L,High,QA Tester > QA Engineer > Senior QA > QA Lead,10,QA & Testing
Data Analyst,"SQL,Excel,Power BI,Tableau,Python,Statistics,Data Cleaning,Reporting,Business Intelligence",Analyzes data to drive decisions,$60k-$95k,Rs.5L-16L,High,Data Entry > Analyst > Senior Analyst > Analytics Manager,8,Analytics
Cloud Security Engineer,"AWS Security,Zero Trust,IAM,SAST,Compliance,CSPM,Python,Penetration Testing,Cloud Architecture",Secures cloud infrastructure,$110k-$160k,Rs.14L-38L,Very High,Security Analyst > Cloud Security > Security Architect,18,Security
Platform Engineer,"Kubernetes,Docker,Terraform,CI CD,GitOps,Helm,Python,Go,Internal Developer Platforms",Builds internal developer infrastructure,$105k-$150k,Rs.14L-35L,High,DevOps > Platform Engineer > Senior Platform > Principal,18,Cloud & Infrastructure
Prompt Engineer,"LLMs,Python,Prompt Design,NLP,API Integration,Evaluation,Fine-tuning,Data Collection,RAG",Designs prompts for AI systems,$85k-$130k,Rs.10L-28L,Very High,Data Scientist > Prompt Engineer > AI Product Manager,8,AI Research
AI Product Manager,"AI ML Basics,Product Management,Data Analysis,Stakeholder Management,Roadmapping,User Research,Python",Manages AI product development,$110k-$165k,Rs.14L-38L,Very High,PM > AI PM > VP AI Products,24,Management
MLOps Engineer,"Python,Docker,Kubernetes,MLflow,Airflow,Feature Store,CI CD,Model Monitoring,TensorFlow Serving",Manages ML model lifecycle,$105k-$155k,Rs.14L-38L,Very High,ML Engineer > MLOps > Senior MLOps > ML Platform Lead,16,AI & Data
Generative AI Engineer,"Python,LLMs,Langchain,RAG,Vector Databases,Fine-tuning,API Integration,Prompt Engineering,OpenAI",Builds generative AI applications,$110k-$165k,Rs.14L-42L,Very High,ML Engineer > GenAI Engineer > Senior GenAI Lead,12,AI & Data
Hardware Engineer,"Circuit Design,PCB Design,SPICE,Altium,FPGA,Embedded C,Signal Integrity,Power Electronics,Testing",Designs electronic hardware,$85k-$130k,Rs.8L-26L,Moderate,Junior HW > Hardware Engineer > Senior HW > Principal,16,Embedded & IoT
Aerospace Engineer,"MATLAB,ANSYS,CFD,FEA,Aerodynamics,CAD,Control Systems,Flight Dynamics,Python",Designs aircraft and spacecraft,$85k-$130k,Rs.8L-24L,Moderate,Junior Aerospace > Engineer > Senior > Principal,18,Engineering
Biomedical Engineer,"MATLAB,Python,Medical Devices,Signal Processing,Statistics,Embedded C,Regulatory Compliance,CAD",Develops medical devices,$70k-$110k,Rs.6L-18L,Moderate,Research Asst > Biomedical Eng > Senior > Principal,14,Engineering
Renewable Energy Engineer,"MATLAB,PVsyst,ETAP,Power Systems,Grid Analysis,Renewable Energy,Project Management,SAP",Develops sustainable energy solutions,$70k-$110k,Rs.6L-18L,High,Junior Eng > Energy Engineer > Senior > Lead,14,Engineering
Supply Chain Engineer,"SAP,ERP,Logistics,Data Analysis,Excel,Python,Operations Research,Six Sigma,Procurement",Optimizes supply chain,$70k-$110k,Rs.6L-18L,Moderate,Analyst > SCM Engineer > Senior > Director,12,Management
Data Warehouse Engineer,"SQL,Snowflake,dbt,BigQuery,Redshift,ETL,Python,Data Modeling,Tableau,Spark",Manages data warehouse systems,$95k-$140k,Rs.12L-30L,High,Data Engineer > DW Engineer > Senior > Architect,14,Database
Technical Program Manager,"Program Management,Agile,Risk Management,Stakeholder Communication,Technical Background,Roadmapping",Oversees large technical programs,$115k-$170k,Rs.14L-40L,High,Senior Engineer > Tech Lead > TPM > Senior TPM,24,Management
Staff Engineer,"Distributed Systems,System Design,Technical Leadership,Mentoring,Architecture,Large Scale Systems",Provides senior technical leadership,$150k-$220k,Rs.22L-58L,High,Senior Eng > Staff Eng > Principal Eng > Distinguished,30,Architecture
DevSecOps Engineer,"Security Testing,CI CD,Docker,SAST DAST,Vulnerability Management,Python,Kubernetes,Threat Modeling",Integrates security into DevOps,$100k-$150k,Rs.14L-35L,Very High,DevOps > DevSecOps > Senior > Security Architect,16,Security
